Quantities
ActualArrivals
ActualExpeditedArrivals
ActualInventory
ActualItemsReceivedQuantity
CalculatedConsumption
InventoryDaysOnHand
LatestDateForDemandForecast
LatestDemandForecast
Miscellaneous
PendingArrivalsPastDue
QuantityUncertaintySupplySide
SafetyStock
TimeUncertaintySupplySide
TotalNetInventory
UnrestrictedBlocked
